  0 SNES Function norm 2.515602452189e+00
    0 KSP Residual norm 1.655207925875e+00
    1 KSP Residual norm 7.434357673913e-01
    2 KSP Residual norm 5.435551926361e-01
    3 KSP Residual norm 4.751121047022e-01
    4 KSP Residual norm 4.436058499773e-01
    5 KSP Residual norm 4.252990021780e-01
    6 KSP Residual norm 4.093260896579e-01
    7 KSP Residual norm 3.920913810743e-01
    8 KSP Residual norm 3.738755582545e-01
    9 KSP Residual norm 3.548350572486e-01
   10 KSP Residual norm 3.323419295991e-01
   11 KSP Residual norm 3.062614972701e-01
   12 KSP Residual norm 2.809366124235e-01
   13 KSP Residual norm 2.578272657810e-01
   14 KSP Residual norm 2.353873807122e-01
   15 KSP Residual norm 2.152373881163e-01
   16 KSP Residual norm 1.991387330309e-01
   17 KSP Residual norm 1.861959280796e-01
   18 KSP Residual norm 1.753761010136e-01
   19 KSP Residual norm 1.663816159323e-01
   20 KSP Residual norm 1.583275907716e-01
   21 KSP Residual norm 1.507587633516e-01
   22 KSP Residual norm 1.434767218368e-01
   23 KSP Residual norm 1.364104302858e-01
   24 KSP Residual norm 1.296309993596e-01
   25 KSP Residual norm 1.233427981772e-01
   26 KSP Residual norm 1.175668477371e-01
   27 KSP Residual norm 1.120017486668e-01
   28 KSP Residual norm 1.068406984374e-01
   29 KSP Residual norm 1.020048428728e-01
   30 KSP Residual norm 9.724277912827e-02
   31 KSP Residual norm 9.478475514812e-02
   32 KSP Residual norm 9.245479729945e-02
   33 KSP Residual norm 8.998495254961e-02
   34 KSP Residual norm 8.719746236489e-02
   35 KSP Residual norm 8.431565100120e-02
   36 KSP Residual norm 8.132387912791e-02
   37 KSP Residual norm 7.804638970029e-02
   38 KSP Residual norm 7.448227804843e-02
   39 KSP Residual norm 7.085908199591e-02
   40 KSP Residual norm 6.755632118458e-02
   41 KSP Residual norm 6.446754929268e-02
   42 KSP Residual norm 6.156552168427e-02
   43 KSP Residual norm 5.870723753827e-02
   44 KSP Residual norm 5.547745263865e-02
   45 KSP Residual norm 5.196827905571e-02
   46 KSP Residual norm 4.833783795788e-02
   47 KSP Residual norm 4.455311058269e-02
   48 KSP Residual norm 4.091457704793e-02
   49 KSP Residual norm 3.711106909354e-02
   50 KSP Residual norm 3.338597089592e-02
   51 KSP Residual norm 3.047653046093e-02
   52 KSP Residual norm 2.823972631796e-02
   53 KSP Residual norm 2.647206501324e-02
   54 KSP Residual norm 2.500834832833e-02
   55 KSP Residual norm 2.379363283325e-02
   56 KSP Residual norm 2.273505410259e-02
   57 KSP Residual norm 2.157563358089e-02
   58 KSP Residual norm 2.009501561261e-02
   59 KSP Residual norm 1.790590822911e-02
   60 KSP Residual norm 1.508326188686e-02
   61 KSP Residual norm 1.371122152733e-02
   62 KSP Residual norm 1.288283452301e-02
   63 KSP Residual norm 1.211426506907e-02
   64 KSP Residual norm 1.151416697074e-02
   65 KSP Residual norm 1.102752391050e-02
   66 KSP Residual norm 1.055636239670e-02
   67 KSP Residual norm 9.971829514705e-03
   68 KSP Residual norm 9.341429617322e-03
   69 KSP Residual norm 8.761722438306e-03
   70 KSP Residual norm 8.167957734875e-03
   71 KSP Residual norm 7.494373477697e-03
   72 KSP Residual norm 6.903109189208e-03
   73 KSP Residual norm 6.406919948024e-03
   74 KSP Residual norm 5.946466937754e-03
   75 KSP Residual norm 5.516767996738e-03
   76 KSP Residual norm 5.095778910315e-03
   77 KSP Residual norm 4.709013847914e-03
   78 KSP Residual norm 4.383302286718e-03
   79 KSP Residual norm 4.086357548281e-03
   80 KSP Residual norm 3.839753910122e-03
   81 KSP Residual norm 3.635247435131e-03
   82 KSP Residual norm 3.443725830537e-03
   83 KSP Residual norm 3.258887189248e-03
   84 KSP Residual norm 3.088514076919e-03
   85 KSP Residual norm 2.936174320830e-03
   86 KSP Residual norm 2.794700613442e-03
   87 KSP Residual norm 2.672826363367e-03
   88 KSP Residual norm 2.575690827767e-03
   89 KSP Residual norm 2.492831424898e-03
   90 KSP Residual norm 2.423059611505e-03
   91 KSP Residual norm 2.371748082212e-03
   92 KSP Residual norm 2.324637597589e-03
   93 KSP Residual norm 2.276778219454e-03
   94 KSP Residual norm 2.224199320776e-03
   95 KSP Residual norm 2.164177554009e-03
   96 KSP Residual norm 2.087048558700e-03
   97 KSP Residual norm 1.995984594539e-03
   98 KSP Residual norm 1.896033947997e-03
   99 KSP Residual norm 1.786152530064e-03
  100 KSP Residual norm 1.687406561227e-03
  101 KSP Residual norm 1.595248821474e-03
