nprocs,refine,da_grid,runtime_sec,snes_iters,relative_error_L2
1,2,33,0.03008,8,0.000809754
1,3,65,0.05223,7,0.000202508
1,4,129,0.319,6,5.06487e-05
1,5,257,4.194,8,1.26638e-05
1,6,513,53.71,8,3.16504e-06
2,2,33,0.0106,8,0.000809754
2,3,65,0.03877,7,0.000202508
2,4,129,0.2145,6,5.06487e-05
2,5,257,2.653,8,1.26638e-05
2,6,513,36.92,8,3.16504e-06
4,2,33,0.006996,8,0.000809754
4,3,65,0.02795,7,0.000202508
4,4,129,0.1388,6,5.06487e-05
4,5,257,3.088,8,1.26638e-05
4,6,513,32.43,8,3.16504e-06
